ID_1,hashtag,Video Link ,Relevance ,Condition,Creator Type,Creator age,Creator Gender,Video Length (s),Likes,Shares,Comments,Mode 1,Mode 2,Mode 3,Mode 4,Video Type,Humor,Video Accuracy,Understandability ,Theme 1,Theme 2,Theme 3,Theme 4
218,#endometriosis,https://www.tiktok.com/@ella.collings/video/6996438643787255042,Y,Endometriosis,Patient,Over 25,F,38,9082,283,377,Viral Music,Text,Visual Aid,,Personal Testimony,N,3,3,Success Stories,Coping with Illness,Diagnosis,Poor Medical Care
300,#fibroids,https://www.tiktok.com/@ravenmae36/video/6980502732415307013,Y,Fibroids,Lay person,Over 25,F,48,796900,7127,1923,Speech,Text,Acting,,Raising Awareness (Lay),N,3,3,Poor Medical Care,Diagnosis,Conventional Treatment,
767,#utiremedies,https://www.tiktok.com/@juicingtutorials/video/6932613948592164102,Y,UTI,Lay person,Unknown,F,10,69300,286,2027,Speech,Visual Aid,,,Raising Awareness (Lay),N,1,2,Alternative Therapies,Diet & Nutrition ,,
630,#pms,https://www.tiktok.com/@dollarmaxipadclub/video/6947514259819515142,Y,PMS,Lay person,Over 25,F,20,275300,1332,1152,Acting,Text,Speech,,Humor,Y,3,3,Coping with Illness,,,
628,#pms,https://www.tiktok.com/@loprepper/video/6983696430871416069,Y,PMS,Patient,Over 25,F,15,1651,108,141,Text,Visual Aid,Viral Music,,Humor,Y,3,2,Coping with Illness,,,
714,#uti,https://www.tiktok.com/@...twill/video/6932561058095713541,Y,UTI,Lay person,Under 25,M,9,171700,1411,3391,Text,Acting,,,Humor,Y,3,2,Signs & Symptoms,Sexual Health,,
435,#ovariancancer,https://www.tiktok.com/@jbird11211/video/6959903594355133701,Y,Ovarian Cancer,Patient,Over 25,F,30,26100,588,86,Text,Visual Aid,,,Personal Testimony,N,3,3,Success Stories,Coping with Illness,Support Networks,
661,#uterinecancer,https://www.tiktok.com/@triciasnyder/video/6967416574240197894,Y,Uterine Cancer,Patient,Over 25,F,9,1186,125,6,Viral Music,Text,,,Personal Testimony,N,3,3,Diagnosis,,,
542,#pcos,https://www.tiktok.com/@natalieavni/video/6945845786508807429,Y,PCOS,Patient,Over 25,F,15,479800,6087,7637,Viral Music,Text,Acting,,Medical Visit Narratives,Y,3,3,Success Stories,Support Networks,,
42,#birthcontrol,https://www.tiktok.com/@baby.ghoull/video/6895456865681984773,Y,Birth Control,Patient,Over 25,F,9,1200000,13500,17800,Viral Music,Text,,,Personal Testimony,N,3,3,Success Stories,,,
516,#pcos,https://www.tiktok.com/@selahrxo/video/6989003702187085058,Y,PCOS,Patient,Over 25,F,10,82700,968,687,Viral Music,Text,,,Personal Testimony,N,3,3,Success Stories,Side Effects,,
89,#birthcontrolsideeffects,https://www.tiktok.com/@rebeccaagraacee/video/6778572180700531974,Y,Birth Control,Patient,Under 25,F,15,126,0,8,Viral Music,Text,,,Personal Testimony,N,3,3,Side Effects,Seeking Empathy,,
498,#papsmear,https://www.tiktok.com/@faithfuldoc/video/6950441763450506502,Y,Pap Smear,Medical Professional,Over 25,F,55,42800,275,682,Duet,Speech,Text,,Raising Awareness (Medical),Y,3,3,Promoting Preventive Care,,,
763,#utiremedies,https://www.tiktok.com/@chaosbychristine/video/6983854560699829510,Y,#utiremedies,Lay person,Over 25,F,14,895,32,44,Viral Music,Text,Dance Trend,,Raising Awareness (Lay),N,3,3,Promoting Preventive Care,Alternative Therapies,,
178,#cervicalcancer,https://www.tiktok.com/@catalinadressing/video/6994520781799574789,Y,#cervicalcancer,Family/Support,Over 25,F,19,925600,10400,4801,Viral Music,Visual Aid,,,Personal Testimony,N,3,3,Seeking Empathy,,,
374,#infertilityjourney,https://www.tiktok.com/@ttc_babyrod/video/6985582283956735238,Y,#infertilityjourney,Patient,Over 25,F,14,4830,269,36,Text,Acting,Viral Music,,Medical Visit Narratives,N,3,3,Seeking Empathy,,,
213,#endometriosis,https://www.tiktok.com/@drkellylupo/video/6973355115424058629,Y,#endometriosis,Medical Professional,Under 25,F,13,35600,645,512,Text,Viral Music,,,Raising Awareness (Medical),N,3,3,Signs & Symptoms,Poor Medical care,,
299,#fibroids,https://www.tiktok.com/@yoniutopia/video/6931855129289297157,Y,#fibroids,Lay person,Over 25,F,15,641,19,99,Text,Visual Aid,Responding to Comment,,Raising Awareness (Lay),N,3,3,Diet & Nutrition ,,,
466,#papsmear,https://www.tiktok.com/@midwifemama/video/6972212592576154886,Y,#papsmear,Medical Professional,Over 25,F,6,26600,133,382,Text,Visual Aid,,,Raising Awareness (Medical),N,3,3,Conventional Treatment ,,,
103,#breastcancer,https://www.tiktok.com/@meshamia13/video/6945593994416098565,Y,#breastcancer,Patient,Over 25,F,15,45500,1887,429,Speech,Visual Aid,,,Personal Testimony,N,3,3,Success Stories,,,
54,#birthcontrolsideeffects,https://www.tiktok.com/@isabellesavoy/video/6960786656324570373,Y,#birthcontrolsideeffects,Lay person,Under 25,F,12,42900,2,851,Text,Acting,Visual Aid,,Humor,Y,3,1,Side Effects,,,
754,#utiremedies,https://www.tiktok.com/@lifetheplantway/video/6966112284032699654,Y,#utiremedies,Lay person,Over 25,M,36,2261,54,259,Text,Speech,Responding to Comment,,Raising Awareness (Lay),N,2,3,Alternative Therapies,Diet & Nutrition ,,
251,#endometriosis,https://www.tiktok.com/@endometriosisem/video/6966224543069277445,Y,#endometriosis,Patient,Under 25,F,9,12800,57,44,Dance Trend,Text,Viral Music,,Personal Testimony,N,3,3,Patient Expertise,,,
156,#cervicalcancer,https://www.tiktok.com/@kenzinichole_/video/6919733060921511174,Y,#cervicalcancer,Patient,Under 25,F,54,22800,1325,470,Speech,Text,Visual Aid,,Personal Testimony,N,3,3,Promoting Preventive Care,Success Stories,Diagnosis,
732,#uti,https://www.tiktok.com/@charlottevicjones/video/6983716202568781062,Y,#uti,Lay person,Under 25,F,7,23200,156,573,Viral Music,Text,Acting,,Raising Awareness (Lay),Y,3,3,Promoting Preventive Care,,,
36,#birthcontrol,https://www.tiktok.com/@jesssbecause_/video/6965884262985911557,Y,#birthcontrol,Lay person,Over 25,F,19,37600,214,1356,Viral Music,Text,Visual Aid,,Raising Awareness (Lay),N,1,3,Alternative Therapies,,,
692,#uterinecancer,https://www.tiktok.com/@glambygarcia15/video/6891524692721667333,Y,#uterinecancer,Patient,Over 25,F,59,467,34,10,Speech,Responding to Comment,,,Personal Testimony,N,3,3,Diagnosis,Poor Medical Care,,
245,#endometriosis,https://www.tiktok.com/@blazedandglazed/video/6957732062312942854,Y,#endometriosis,Patient,Under 25,F,60,17900,250,69,Speech,Text,,,Medical Visit Narratives,Y,3,3,Coping with Illness,Diet & Nutrition ,Support Networks,Poor Medical Care
625,#pms,https://www.tiktok.com/@littleraeofhealth/video/6938167837672590598,Y,#pms,Lay person,Under 25,F,30,318000,1935,4322,Speech,Text,,,Raising Awareness (Lay),Y,3,3,Signs & Symptoms,Alternative Therapies,,
231,#endometriosis,https://www.tiktok.com/@bloodyhonest/video/6945510433088343301,Y,#endometriosis,Patient,Under 25,F,59,461400,3564,5539,Speech,Text,Stitch,,Personal Testimony,N,3,3,Poor Medical Care,Diagnosis,,
33,#birthcontrol,https://www.tiktok.com/@kellyboyllee/video/6975525115886914821,Y,#birthcontrol,Patient,Under 25,F,15,67600,1238,1205,Viral Music,Text,,,Personal Testimony,N,3,3,Seeking Empathy,Signs & Symptoms,Side Effects,
760,#utiremedies,https://www.tiktok.com/@morgabbytime/video/6934096857010310406,Y,#utiremedies,Lay person,Over 25,F,10,2999,56,299,Text,Viral Music,,,Raising Awareness (Lay),N,2,2,Alternative Therapies,Diet & Nutrition ,,
483,#papsmear,https://www.tiktok.com/@medmanual/video/6996615991866248454,Y,#papsmear,Organization,NA,F,14,14200,939,1126,Text,Visual Aid,Speech,,Raising Awareness (Medical),N,3,3,Promoting Preventive Care,,,
187,#cervicalcancer,https://www.tiktok.com/@candeezyy/video/6959545145285020933,Y,#cervicalcancer,Patient,Over 25,F,37,123,17,1,Viral Music,Text,Visual Aid,,Personal Testimony,N,3,3,Success Stories,Promoting Preventive Care,,
85,#birthcontrolsideeffects,https://www.tiktok.com/@sydandolivia/video/6828601599737220357,Y,#birthcontrolsideeffects,Lay person,Over 25,F,59,298600,2926,24300,Acting,Speech,Sketch,,Raising Awareness (Lay),Y,3,3,Side Effects,Gender Inequality,Alternative Therapies,Sexual Health
181,#cervicalcancer,https://www.tiktok.com/@drkristamarie/video/6923761182427974917,Y,#cervicalcancer,Medical Professional,Over 25,F,15,306,16,10,Viral Music,Dance Trend,Text,,Raising Awareness (Medical),N,3,3,Promoting Preventive Care,,,
541,#pcos,https://www.tiktok.com/@jaschyou/video/6961827464372931846,Y,#pcos,Patient,Over 25,F,43,282600,6647,18100,Speech,Stitch,,,Personal Testimony,N,3,3,Side Effects,,,
747,#uti,https://www.tiktok.com/@deborahwanistin/video/7006127948885445894,N,#uti,NA,,,18,537700,2717,1174,,,,,NA,,,,NA,,,
117,#breastcancer,https://www.tiktok.com/@dani_trops/video/6968901863466962181,Y,#breastcancer,Patient,Over 25,F,42,1300000,6107,35400,Speech,Text,Visual Aid,,Raising Awareness (Lay),N,3,3,Promoting Preventive Care,Patient Expertise,,
